notification_number,vendor_id,supplier_name,material,material_description,created_date,completion_date,created_month,qty,material_value,disposition,cause_responsibility,notification_type,project,notification_status,dashboard_status,internal_supplier_candidate,in_ncr_vendor_file,in_ncr_all_file,in_task_report,ncr_vendor_source_row_count,ncr_all_source_row_count,task_source_row_count
200000001,2000034186,WABTEC Passenger Transit Corpo,647077,TREAD BRAKE UNIT,2019-02-19,2019-02-19,2019-02,0.0,0.0,,Procurement,F2,,NOCO NOTI ATCO DLFL,Closed,False,False,True,True,,1.0,2.0
200000030,,,M000001505289,ASI RFID Tag Reader,2019-04-03,2019-04-03,2019-04,1.0,,,,F3,,NOCO NOTI ATCO,,False,False,True,False,,1.0,
200000032,2000033510,TransTech of South Carolina In,M000000811243,CONNECTOR for SOLENOID VALVE,2019-04-04,2019-04-16,2019-04,1.0,66.01,CRRC MA Scrap,,F2,Danger note,NOCO NOTI ATCO NOPT,Closed,False,True,True,True,1.0,1.0,2.0
200000033,1000200000,CRRC Changchun Railway Vehicle,652616,AIR OUTLET,2019-04-04,2019-04-24,2019-04,1.0,0.0,CRRC MA Scrap,,F2,Danger note,NOCO NOTI ATCO,Closed,True,True,True,True,1.0,1.0,3.0
200000034,2000001844,Baoying ShenFei Electronic Equ,651657,PARTITION ASSEMBLY(R),2019-04-04,2019-04-23,2019-04,1.0,3654.67,CRRC MA Scrap,,F2,Danger note,NOCO NOTI ATCO,Closed,False,True,False,True,1.0,,5.0
200000038,2000000532,Nanjing Haoming Industry and T,652486,trip cock CONNECTOR（PLUG）,2019-04-04,2019-04-30,2019-04,1.0,14.72,CRRC MA Scrap,,F2,Danger note,NOCO NOTI ATCO NOPT,Closed,False,True,True,True,1.0,1.0,7.0
200000039,2000001844,Baoying ShenFei Electronic Equ,653153,INSTALLATION PLATE,2019-04-05,2019-04-11,2019-04,6.0,0.0,NCR-MRB,,F2,Danger note,NOCO NOTI ATCO,Closed,False,True,True,True,1.0,1.0,2.0
200000040,2000033506,"Kustom Seating Unlimited, Inc.",638225,PASSENGER SEATS LAYOUT,2019-04-05,2019-04-11,2019-04,1.0,0.01,NCR-Prelim. Review,,F2,Danger note,NOCO NOTI ATCO,Closed,False,True,False,True,1.0,,1.0
200000041,2000033507,TDG Transit Design Group INTL,619094,CAB OPERATOR ADJUSTABLE LED READING LIGH,2019-04-05,2019-04-11,2019-04,1.0,243.33,NCR-Spl Rwrk On Site,,F2,Danger note,NOCO NOTI,Closed,False,False,True,True,,1.0,1.0
200000046,,,653482,TRACTION INVERTER BOX INSTALLATION,2019-04-13,2019-04-15,2019-04,1.0,0.01,NCR-Prelim. Review,,F4,,NOCO NOTI ATCO,Closed,False,True,False,True,1.0,,4.0
200000047,,,651436,SEALING PLATE ASSEMBLY,2019-04-13,2019-04-15,2019-04,1.0,58.87,NCR-Prelim. Review,,F4,,NOCO NOTI ATCO,Closed,False,True,False,True,1.0,,2.0
200000050,2000033434,EAO Corporation,M000001403348,GMD Request Button 57-10-001106,2019-04-15,2019-09-26,2019-04,2.0,300.88,NCR-Prelim. Review,,F4,MBTA Orange/Red Line,NOCO NOTI ATCO NOPT,Closed,False,True,True,True,1.0,1.0,3.0
200000051,2000034434,Qingdao Sanlaser Machinery Co.,652427,WINDSCREEN ASSEMBLY(LR-02),2019-04-15,2019-05-10,2019-04,1.0,486.95,NCR-Prelim. Review,,F2,,NOCO NOTE ATCO NOPT,Closed,False,True,True,True,1.0,1.0,3.0
200000052,2000033464,TOA Engineering Corporation,619315,LED?ANNOUNCEMENT SIGN(SINGLE SIDED),2019-04-15,2019-08-20,2019-04,1.0,1563.88,NCR-RTV,,F2,,NOCO NOTE ATCO NOPT,Closed,False,True,True,True,1.0,1.0,7.0
200000053,2000035200,"C & D Electronics, Inc",M000001901250,breaker,2019-04-15,2019-04-30,2019-04,1.0,109.17,CRRC MA Scrap,,F4,,NOCO NOTI ATCO,Closed,False,True,True,True,1.0,1.0,7.0
200000054,1000502000,"Qingdao SRI Technology Co., Lt",651912,HOSTLER PANEL,2019-04-15,2019-04-16,2019-04,0.0,0.0,NCR-MRB,,F2,,NOCO NOTI ATCO,Closed,False,True,False,True,1.0,,3.0
200000055,2000034434,Qingdao Sanlaser Machinery Co.,640100,HANDRAIL ASSEMBLY-07,2019-04-15,2019-05-28,2019-04,1.0,495.5,NCR-RTV,,F2,,NOCO NOTE ATCO NOPT,Closed,False,True,False,True,1.0,,8.0
200000056,2000034434,Qingdao Sanlaser Machinery Co.,640097,HANDRAIL ASSEMBLY-04,2019-04-15,2019-05-28,2019-04,4.0,1478.44,NCR-RTV,,F2,,NOCO NOTE ATCO NOPT,Closed,False,True,False,True,1.0,,8.0
200000058,2000033464,TOA Engineering Corporation,619325,MAIN CONTROL UNIT（MCU）,2019-04-15,2019-05-02,2019-04,1.0,3895.26,NCR-Spl Rwrk On Site,,F2,,NOCO NOTE ATCO NOPT,Closed,False,True,False,True,1.0,,3.0
200000059,2000034434,Qingdao Sanlaser Machinery Co.,640096,HANDRAIL ASSEMBLY-03,2019-04-15,2019-08-28,2019-04,1.0,167.03,NCR-RTV,,F2,,NOCO NOTI ATCO NOPT,Closed,False,True,False,True,1.0,,7.0
200000060,2000001844,Baoying ShenFei Electronic Equ,654087,DOOR STOP,2019-04-15,2019-05-01,2019-04,1.0,0.01,CRRC MA Scrap,,F2,,NOCO NOTI ATCO NOPT,Closed,False,True,True,True,1.0,1.0,6.0
200000061,2000034434,Qingdao Sanlaser Machinery Co.,640095,HANDRAIL ASSEMBLY-02,2019-04-15,2019-08-28,2019-04,1.0,1443.53,NCR-RTV,,F2,,NOCO NOTI ATCO NOPT,Closed,False,True,False,True,1.0,,12.0
200000063,1000200000,CRRC Changchun Railway Vehicle,M000000768205,Windshield Heater Controller,2019-04-15,2019-10-21,2019-04,1.0,0.01,CRRC MA Scrap,Production,F4,MBTA Orange/Red Line,NOCO NOTI ATCO NOPT,Closed,True,True,False,True,1.0,,7.0
200000064,,,639690,SIDE CEILING ASSEMBLY,2019-04-15,2019-04-19,2019-04,2.0,538.78,NCR-Spl Rwrk On Site,,F4,,NOCO NOTE ATCO,Closed,False,True,False,True,1.0,,6.0
200000065,1000501600,CRRC Qingdao Sifang Rolling St,652942,MOTORMAN SIDE CONSOLE ASSEMBLY,2019-04-16,2019-10-11,2019-04,1.0,10370.29,NCR-Repair,,F2,MBTA Orange/Red Line,NOCO NOTE ATCO NOPT,Closed,False,True,False,True,1.0,,3.0
200000066,2000034434,Qingdao Sanlaser Machinery Co.,640093,WINDSCREEN ASSEMBLY(LR),2019-04-16,2019-05-24,2019-04,5.0,2076.25,NCR-Spl Rwrk On Site,,F2,,NOCO NOTE ATCO NOPT,Closed,False,True,True,True,1.0,1.0,11.0
200000067,2000034434,Qingdao Sanlaser Machinery Co.,640090,WINDSCREEN ASSEMBLY(LL),2019-04-16,2019-05-24,2019-04,4.0,1775.52,NCR-Spl Rwrk On Site,,F2,,NOCO NOTE ATCO NOPT,Closed,False,True,True,True,1.0,1.0,13.0
200000068,2000033464,TOA Engineering Corporation,619309,HANDSET,2019-04-16,2019-06-13,2019-04,1.0,325.36,NCR-RTV,,F2,,NOCO NOTE ATCO NOPT,Closed,False,True,True,True,1.0,1.0,8.0
200000069,2000034434,Qingdao Sanlaser Machinery Co.,640092,WINDSCREEN ASSEMBLY(LR-01),2019-04-16,2019-05-24,2019-04,5.0,2888.45,NCR-Spl Rwrk On Site,,F2,,NOCO NOTE ATCO NOPT,Closed,False,True,False,True,1.0,,13.0
200000070,2000034434,Qingdao Sanlaser Machinery Co.,640089,WINDSCREEN ASSEMBLY(SL-01),2019-04-16,2019-05-24,2019-04,0.0,0.0,NCR-Spl Rwrk On Site,,F2,,NOCO NOTE ATCO,Closed,False,True,True,True,1.0,1.0,10.0
200000071,2000034434,Qingdao Sanlaser Machinery Co.,M000001397557,WINDSCREEN ASSEMBLY(SL-03),2019-04-16,2019-05-24,2019-04,0.0,0.0,NCR-Spl Rwrk On Site,,F2,,NOCO NOTE ATCO NOPT,Closed,False,True,False,True,1.0,,15.0
200000072,2000034434,Qingdao Sanlaser Machinery Co.,652427,WINDSCREEN ASSEMBLY(LR-02),2019-04-16,2019-05-24,2019-04,5.0,2434.75,NCR-Spl Rwrk On Site,,F2,,NOCO NOTE ATCO NOPT,Closed,False,True,True,True,1.0,1.0,13.0
200000073,1000200000,CRRC Changchun Railway Vehicle,639575,SPLASH GUARD PLATE ASSEMBLY,2019-04-16,2021-08-24,2019-04,4.0,2155.96,NCR-Rework,Production,F2,MBTA Orange/Red Line,NOCO NOTI ATCO NOPT,Closed,True,True,True,True,1.0,1.0,22.0
200000074,2000034434,Qingdao Sanlaser Machinery Co.,640091,WINDSCREEN ASSEMBLY(SL-02),2019-04-16,2019-05-24,2019-04,3.0,842.22,NCR-Spl Rwrk On Site,,F2,,NOCO NOTE ATCO NOPT,Closed,False,True,False,True,1.0,,14.0
200000075,2000033507,TDG Transit Design Group INTL,M000001563444,Multifunction indicator,2019-04-16,2020-01-10,2019-04,1.0,872.85,NCR-RTV,,F2,,NOCO NOTI ATCO NOPT,Closed,False,True,True,True,1.0,1.0,7.0
200000077,2000034091,Vapor Stone Rail Systems,653939,DOOR OPERATOR ASSEMBLY (RH),2019-04-16,2019-07-01,2019-04,9.0,27855.54,NCR-Spl Rwrk On Site,,F2,,NOCO NOTE ATCO NOPT,Closed,False,True,True,True,1.0,1.0,10.0
200000078,2000034091,Vapor Stone Rail Systems,653938,DOOR OPERATOR ASSEMBLY (LH),2019-04-16,2019-07-01,2019-04,3.0,9585.33,NCR-Spl Rwrk On Site,,F2,,NOCO NOTE ATCO NOPT,Closed,False,True,True,True,1.0,1.0,10.0
200000079,2000001844,Baoying ShenFei Electronic Equ,640979,CLOSED OFF PLATE,2019-04-16,2019-05-01,2019-04,1.0,137.11,CRRC MA Scrap,,F2,,NOCO NOTI ATCO,Closed,False,True,False,True,1.0,,6.0
200000080,2000034434,Qingdao Sanlaser Machinery Co.,M000001397558,ACCESSIBLE AREA HANDRAIL ASSEMBLY,2019-04-16,2020-04-02,2019-04,1.0,128.35,NCR-RTV,Supplier,F2,MBTA Orange/Red Line,NOCO NOTE ATCO NOPT,Closed,False,True,False,True,1.0,,9.0
200000081,2000033464,TOA Engineering Corporation,619315,LED?ANNOUNCEMENT SIGN(SINGLE SIDED),2019-04-16,2020-01-10,2019-04,1.0,1563.88,NCR-RTV,,F2,,NOCO NOTE ATCO NOPT,Closed,False,True,True,True,1.0,1.0,6.0
200000082,1000502000,"Qingdao SRI Technology Co., Lt",649084,BATTERY BOX,2019-04-16,2019-05-18,2019-04,1.0,9143.65,NCR-Repair,,F2,,NOCO NOTE ATCO NOPT,Closed,False,True,False,True,1.0,,9.0
200000083,2000033486,Mitsubishi Electric Power Prod,M000000796997,VS\MS-A1847,2019-04-16,2019-07-11,2019-04,1.0,1900.0,NCR-RTV,Production,F2,,NOCO NOTI ATCO NOPT,Closed,False,True,True,True,1.0,1.0,3.0
200000084,2000033486,Mitsubishi Electric Power Prod,652783,GEARBOX,2019-04-16,2023-04-05,2019-04,1.0,20800.0,NCR-RTV,Supplier,F2,MBTA Orange/Red Line,NOCO NOTE ATCO NOPT,Closed,False,True,False,True,1.0,,6.0
200000085,2000035200,"C & D Electronics, Inc",M000001827612,breaker,2019-04-16,2019-07-11,2019-04,1.0,35.63,CRRC MA Scrap,,F2,,NOCO NOTE ATCO,Closed,False,True,True,True,1.0,1.0,2.0
200000087,2000035392,"Mors Smitt Technologies, Inc.",M000001828855,Relay,2019-04-16,2019-05-01,2019-04,1.0,215.33,CRRC MA Scrap,,F2,,NOCO NOTI ATCO,Closed,False,True,True,True,1.0,1.0,2.0
200000088,2000004123,Changchun Lu Tong,651446,SIDE WALL LINER ASSEMBLY,2019-04-16,2019-05-30,2019-04,1.0,1776.93,NCR-Rework,,F2,Danger note,NOCO NOTE ATCO NOPT,Closed,True,True,False,True,1.0,,6.0
200000090,2000033434,EAO Corporation,M000001901238,Indicator light,2019-04-16,2020-12-18,2019-04,44.0,1389.08,NCR-RTV,Production,F2,MBTA Orange/Red Line,NOCO NOTE ATCO NOPT,Closed,False,True,True,True,1.0,1.0,10.0
200000091,2000033434,EAO Corporation,M000001901237,Indicator light,2019-04-16,2020-12-18,2019-04,87.0,2661.33,NCR-Rework,Production,F2,MBTA Orange/Red Line,NOCO NOTE ATCO NOPT,Closed,False,True,True,True,1.0,1.0,9.0
200000093,1000200000,CRRC Changchun Railway Vehicle,M000000768205,Windshield Heater Controller,2019-04-17,2019-04-17,2019-04,1.0,0.01,PreNCR-NCR Request,,F2,,NOCO NOTI ATCO,Closed,True,True,False,True,1.0,,4.0
200000094,1000200000,CRRC Changchun Railway Vehicle,654087,DOOR STOP,2019-04-17,2019-04-17,2019-04,1.0,0.01,PreNCR-NCR Request,,F2,,NOCO NOTI ATCO,Closed,True,True,True,True,1.0,1.0,4.0
200000095,2000033464,TOA Engineering Corporation,619315,LED?ANNOUNCEMENT SIGN(SINGLE SIDED),2019-04-17,2019-04-17,2019-04,1.0,1563.88,PreNCR-NCR Request,,F2,,NOCO NOTI ATCO NOPT,Closed,False,True,True,True,1.0,1.0,2.0
