vendor_id,month,received_qty_101,received_qty_102,received_qty_net,gr_line_count,gr_101_line_count,gr_102_line_count,unique_material_count,unique_purchase_order_count
1000200000,2025-02,54498.0,6048.0,48450.0,2719,2622,97,564,3
1000200000,2025-03,63008.0,1351.0,61657.0,3384,3361,23,758,3
1000200000,2025-04,48538.88,28889.0,19649.88,1701,1682,19,860,6
1000200000,2025-05,25397.54,876.0,24521.54,1290,1272,18,628,7
1000200000,2025-06,38274.880000000005,3653.0,34621.880000000005,1022,912,110,339,6
1000200000,2025-07,34460.0,1520.0,32940.0,173,153,20,142,8
1000200000,2025-08,9640.0,6601.0,3039.0,274,90,184,208,17
1000200000,2025-09,9607.0,52.0,9555.0,108,104,4,94,11
1000200000,2025-10,29448.0,2473.0,26975.0,565,539,26,294,8
1000200000,2025-11,23458.52,45748.7,-22290.18,1049,671,378,470,27
1000200000,2025-12,2954.0,994.0,1960.0,106,93,13,92,12
1000200000,2026-01,3087.0,3887.2799999999997,-800.2799999999997,202,186,16,156,11
1000200000,2026-02,1505.0,2.0,1503.0,81,80,1,41,3
1000501600,2025-03,10.0,0.0,10.0,25,25,0,1,1
1000501600,2025-04,0.0,0.0,0.0,5,0,5,0,1
1000501600,2025-10,18.0,0.0,18.0,9,9,0,9,1
1000501600,2025-12,2.0,0.0,2.0,1,1,0,1,1
1000502000,2025-03,4.0,0.0,4.0,1,1,0,1,1
1001000025,2025-03,64.0,0.0,64.0,2,2,0,2,2
1001000025,2025-06,24.0,0.0,24.0,1,1,0,1,1
1001000025,2025-09,16.0,0.0,16.0,1,1,0,1,1
2000000501,2025-12,0.0,1.0,-1.0,1,0,1,1,1
2000000692,2025-03,152.0,8.0,144.0,52,51,1,50,2
2000000692,2025-04,2331.0,60.0,2271.0,66,64,2,21,2
2000000692,2025-05,303.0,0.0,303.0,15,15,0,13,2
2000000692,2025-09,123.0,0.0,123.0,19,19,0,18,2
2000000692,2025-10,4.0,0.0,4.0,1,1,0,1,1
2000000692,2025-11,366.0,0.0,366.0,22,22,0,22,3
2000001452,2025-02,350.0,42.0,308.0,49,44,5,39,2
2000001452,2025-03,304.0,0.0,304.0,42,42,0,41,3
2000001452,2025-04,735.0,22.0,713.0,95,92,3,47,3
2000001452,2025-06,1971.0,0.0,1971.0,82,82,0,43,4
2000001452,2025-07,1069.0,0.0,1069.0,73,73,0,38,3
2000001452,2025-08,47.0,15.0,32.0,14,11,3,7,3
2000001452,2025-12,840.0,0.0,840.0,11,11,0,11,1
2000001452,2026-02,9.0,0.0,9.0,3,3,0,3,3
2000001844,2025-11,0.0,3.0,-3.0,1,0,1,1,1
2000002674,2025-11,0.0,6.0,-6.0,3,0,3,3,1
2000010197,2025-04,10.0,0.0,10.0,1,1,0,1,1
2000033413,2025-03,32.0,0.0,32.0,16,16,0,4,1
2000033413,2025-04,3.0,0.0,3.0,3,3,0,2,3
2000033413,2025-05,34.0,0.0,34.0,18,18,0,4,3
2000033413,2025-06,27.0,0.0,27.0,15,15,0,4,4
2000033413,2025-07,43.0,0.0,43.0,23,23,0,4,5
2000033413,2025-09,65.0,0.0,65.0,33,33,0,4,2
2000033413,2025-10,18.0,0.0,18.0,10,10,0,4,3
2000033413,2025-12,46.0,0.0,46.0,25,25,0,4,6
2000033413,2026-01,106.0,53.0,53.0,6,4,2,2,2
2000033414,2025-05,897.0,0.0,897.0,4,4,0,4,1
2000033415,2025-03,82.0,0.0,82.0,5,5,0,5,5
2000033415,2025-04,68.0,0.0,68.0,13,13,0,12,6
2000033415,2025-05,1238.0,0.0,1238.0,25,25,0,23,5
2000033415,2025-06,221.0,0.0,221.0,5,5,0,5,2
2000033415,2025-07,3.0,0.0,3.0,2,2,0,1,2
2000033415,2025-09,11.0,1.0,10.0,7,6,1,5,4
2000033415,2025-10,38.0,0.0,38.0,3,3,0,3,3
2000033415,2025-11,96.0,0.0,96.0,6,6,0,6,1
2000033415,2025-12,8.0,0.0,8.0,1,1,0,1,1
2000033415,2026-01,22.0,0.0,22.0,5,5,0,4,3
2000033418,2025-02,51.0,0.0,51.0,22,22,0,15,5
2000033418,2025-03,98.0,1.0,97.0,19,18,1,14,5
2000033418,2025-04,19.0,0.0,19.0,4,4,0,3,4
2000033418,2025-05,46.0,0.0,46.0,4,4,0,4,3
2000033418,2025-06,2.0,0.0,2.0,2,2,0,2,2
2000033418,2025-07,4.0,0.0,4.0,3,3,0,2,3
2000033418,2025-08,6.0,5.0,1.0,5,3,2,2,3
2000033418,2025-09,1.0,1.0,0.0,2,1,1,1,2
2000033418,2025-10,9.0,0.0,9.0,6,6,0,3,4
2000033418,2025-11,5.0,0.0,5.0,4,4,0,4,4
2000033418,2025-12,1.0,0.0,1.0,1,1,0,1,1
2000033422,2025-03,368.0,238.0,130.0,20,19,1,10,8
2000033422,2025-04,433.0,0.0,433.0,10,10,0,7,3
2000033422,2025-05,458.0,0.0,458.0,10,10,0,10,4
2000033422,2025-06,162.0,0.0,162.0,9,9,0,9,3
2000033422,2025-07,1.0,0.0,1.0,1,1,0,1,1
2000033422,2025-08,26.0,2.0,24.0,6,5,1,4,2
2000033422,2025-09,145.0,0.0,145.0,12,12,0,6,1
2000033422,2025-10,334.0,0.0,334.0,14,14,0,10,4
2000033422,2025-11,136.0,0.0,136.0,4,4,0,4,1
2000033424,2025-05,40.0,0.0,40.0,8,8,0,8,1
2000033424,2025-07,1536.0,0.0,1536.0,2,2,0,2,1
2000033424,2025-09,1536.0,0.0,1536.0,2,2,0,2,1
2000033424,2025-10,1536.0,0.0,1536.0,2,2,0,2,1
2000033424,2025-12,1536.0,0.0,1536.0,2,2,0,2,1
2000033430,2025-03,32.0,0.0,32.0,1,1,0,1,1
2000033430,2025-06,40.0,0.0,40.0,1,1,0,1,1
2000033430,2025-09,71.0,0.0,71.0,5,5,0,1,5
2000033432,2025-02,0.0,0.0,0.0,3,3,0,0,3
2000033432,2025-03,0.0,0.0,0.0,1,1,0,0,1
2000033432,2025-04,0.0,0.0,0.0,1,1,0,0,1
2000033432,2025-05,0.0,0.0,0.0,2,1,1,0,1
2000033432,2025-10,0.0,0.0,0.0,10,10,0,0,3
2000033432,2025-11,0.0,0.0,0.0,1,1,0,0,1
2000033432,2026-02,0.0,0.0,0.0,1,1,0,0,1
2000033434,2025-03,69.0,0.0,69.0,10,10,0,9,2
2000033434,2025-05,150.0,0.0,150.0,2,2,0,2,1
2000033434,2025-06,221.0,0.0,221.0,6,6,0,6,4
2000033434,2025-07,334.0,100.0,234.0,15,14,1,13,5
2000033434,2025-08,47.0,2.0,45.0,5,4,1,4,2
2000033434,2025-09,78.0,0.0,78.0,9,9,0,9,3
2000033434,2025-10,30.0,0.0,30.0,3,3,0,3,1
2000033435,2025-02,520.0,144.0,376.0,9,8,1,4,3
2000033435,2025-03,343.0,0.0,343.0,9,9,0,8,5
2000033435,2025-04,111.0,0.0,111.0,5,5,0,4,4
2000033435,2025-06,20.0,0.0,20.0,1,1,0,1,1
2000033435,2025-07,100.0,20.0,80.0,13,11,2,3,5
2000033435,2025-08,116.0,0.0,116.0,9,6,3,3,3
2000033435,2025-09,42.0,0.0,42.0,3,2,1,2,2
2000033435,2025-11,0.0,0.0,0.0,8,4,4,0,1
2000033435,2025-12,325.0,20.0,305.0,20,14,6,7,1
2000033440,2025-02,0.0,0.0,0.0,1,1,0,0,1
