score_decile,rows,unique_vendors,min_score,avg_score,max_score,high_future_loss_rate,avg_future_loss_rate_3m,future_material_value_3m,future_gr_exposure_3m,future_ncr_count_3m,future_severe_ncr_count_3m,internal_supplier_share,decile_lift,future_loss_rate_lift,future_loss_concentration,score_band
10,20,12,0.8463916719482008,0.9123514793318102,0.9965388504091274,0.7,1645183.7702669299,113363666.64,9749.54,309.0,209.0,0.25,2.4624999999999995,9.66771180524064,0.8849450870322155,D10
9,20,13,0.6320416395742627,0.7438946024817374,0.8435033161335888,0.55,13162.986413673072,1141359.57,29166.0,111.0,72.0,0.0,1.9348214285714287,0.07735060449997151,0.008909737784119208,D09
8,19,15,0.5343951468783765,0.5866217892264557,0.6282631599063826,0.42105263157894735,4745.489139519649,890974.3700000001,54371.0,108.0,71.0,0.0,1.4812030075187967,0.027886259398445,0.006955168395417062,D08
7,20,15,0.3573068404334187,0.4326504802038678,0.5313156082061251,0.45,5072.0196994587,1963218.4499999997,25920.0,256.0,138.0,0.0,1.5830357142857143,0.02980507443062977,0.015325373407474861,D07
6,19,13,0.26282941169872276,0.301980159005981,0.35615670351259665,0.15789473684210525,487.6581033485125,5956843.75,148752.0,290.0,184.0,0.0,0.5554511278195488,0.0028656604130605683,0.046500609648779966,D06
5,20,14,0.16995415802005887,0.20050246269964758,0.2459449838108283,0.2,455.74498038864095,4265540.180000001,79667.78,509.0,321.0,0.0,0.7035714285714285,0.0026781270315884257,0.03329787168773172,D05
4,20,16,0.08754133214201924,0.11683469770707759,0.16540089073015754,0.15,219.24081414047993,342089.4600000001,24377.0,99.0,74.0,0.0,0.5276785714285713,0.001288340576513583,0.002670435739467219,D04
3,19,17,0.015818558374600375,0.03933291716096182,0.07708380463834431,0.10526315789473684,7115.239238178973,168815.75000000003,21877.0,183.0,44.0,0.0,0.3703007518796992,0.041811792471605436,0.0013178178953100839,D03
2,20,13,0.007413647150094153,0.013187620435347127,0.015818558374600375,0.1,379.57298575293646,9226.0,32574.0,118.0,4.0,0.0,0.35178571428571426,0.002230512056849862,7.20204595965177e-05,D02
1,20,11,0.0018848153590972673,0.004440066100081395,0.0072925968536391795,0.0,0.0016157675636238786,752.98,59243.0,52.0,1.0,0.0,0.0,9.494851232842527e-09,5.877949888032289e-06,D01
